Run,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,birth_date,birth_location,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,death_date,dev_stage,Experiment,Genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,sex,SRA Study,STRAIN,Tissue,Treatment,disease
SRR5017128,RNA-Seq,101,4907774527,"Dr. Suzana Savkovic: 1430 Tulane Ave.\, SL-79\, New Orleans LA\, 70112",PRJNA353374,SAMN06006155,Model organism or animal,4-Nov-14,Jackson Laboratory,3584726881,TULANE,"Dr. Suzana Savkovic\, Tulane University",2015-07-01,public,"sra,fastq",s3,s3.us-east-1,1-Jul-15,Adult,SRX2345611,Wild-type,USA,North America,USA,Illumina HiSeq 2500,Vivarium,HFD Tumor 2,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-01T00:00:00Z,High-Fat Diet Tumor 2,Tissue Sample,male,SRP093363,C57BL/6,Colon,"Mouse injected with 10 mg/1 kg AOM and had 3 separate\, week long\, cycles of 2.5% DSS H20 treatment within first two months of experiment. Also fed with 60% kcal high fat diet for 8 months/entirety of experiment.",Obesity; Cancer
SRR5017129,RNA-Seq,101,5143889196,"Dr. Suzana Savkovic: 1430 Tulane Ave.\, SL-79\, New Orleans LA\, 70112",PRJNA353374,SAMN06006068,Model organism or animal,4-Nov-14,Jackson Laboratory,3811795673,TULANE,"Dr. Suzana Savkovic\, Tulane University",2015-07-01,public,"sra,fastq",s3,s3.us-east-1,1-Jul-15,Adult,SRX2345612,Wild-type,USA,North America,USA,Illumina HiSeq 2500,Vivarium,RD Con 2,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-01T00:00:00Z,Regular Diet Control 2,Tissue Sample,male,SRP093363,C58BL/6,Colon,None,
SRR5017130,RNA-Seq,101,4774580979,"Dr. Suzana Savkovic: 1430 Tulane Ave.\, SL-79\, New Orleans LA\, 70112",PRJNA353374,SAMN06006115,Model organism or animal,4-Nov-14,Jackson Laboratory,3491847246,TULANE,"Dr. Suzana Savkovic\, Tulane University",2015-07-01,public,"sra,fastq",s3,s3.us-east-1,1-Jul-15,Adult,SRX2345613,Wild-type,USA,North America,USA,Illumina HiSeq 2500,Vivarium,RD Tumor 3,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-01T00:00:00Z,Regular Diet Tumor 3,Tissue Sample,male,SRP093363,C57BL/6,Colon,"Mouse injected with 10 mg/1 kg AOM and had 3 separate\, week long\, cycles of 2.5% DSS H20 treatment within first two months of experiment.",Cancer
SRR5017131,RNA-Seq,101,5264744281,"Dr. Suzana Savkovic: 1430 Tulane Ave.\, SL-79\, New Orleans LA\, 70112",PRJNA353374,SAMN06006107,Model organism or animal,4-Nov-14,Jackson Laboratory,3847938253,TULANE,"Dr. Suzana Savkovic\, Tulane University",2015-07-01,public,"fastq,sra",s3,s3.us-east-1,1-Jul-15,Adult,SRX2345614,Wild-type,USA,North America,USA,Illumina HiSeq 2500,Vivarium,RD Tumor 2,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-01T00:00:00Z,Regular Diet Tumor 2,Tissue Sample,male,SRP093363,C57BL/6,Colon,"Mouse injected with 10 mg/1 kg AOM and had 3 separate\, week long\, cycles of 2.5% DSS H20 treatment within first two months of experiment.",Cancer
SRR5017132,RNA-Seq,101,4221044419,"Dr. Suzana Savkovic: 1430 Tulane Ave.\, SL-79\, New Orleans LA\, 70112",PRJNA353374,SAMN06006145,Model organism or animal,4-Nov-14,Jackson Laboratory,3076278198,TULANE,"Dr. Suzana Savkovic\, Tulane University",2015-07-01,public,"sra,fastq",s3,s3.us-east-1,1-Jul-15,Adult,SRX2345615,Wild-type,USA,North America,USA,Illumina HiSeq 2500,Vivarium,HFD Tumor 1,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-01T00:00:00Z,High-Fat Diet Tumor 1,Tissue Sample,male,SRP093363,C57BL/6,Colon,"Mouse injected with 10 mg/1 kg AOM and had 3 separate\, week long\, cycles of 2.5% DSS H20 treatment within first two months of experiment. Also fed with 60% kcal high fat diet for 8 months/entirety of experiment.",Obesity; Cancer
SRR5017133,RNA-Seq,101,5639629314,"Dr. Suzana Savkovic: 1430 Tulane Ave.\, SL-79\, New Orleans LA\, 70112",PRJNA353374,SAMN06006102,Model organism or animal,4-Nov-14,Jackson Laboratory,4091164809,TULANE,"Dr. Suzana Savkovic\, Tulane University",2015-07-01,public,"fastq,sra",s3,s3.us-east-1,1-Jul-15,Adult,SRX2345616,Wild-type,USA,North America,USA,Illumina HiSeq 2500,Vivarium,HFD Con 3,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-01T00:00:00Z,High-Fat Diet Control 3,Tissue Sample,male,SRP093363,C57BL/6,Colon,Mouse fed with 60% kcal high fat diet for 8 months/entirety of experiment.,Obesity
SRR5017134,RNA-Seq,101,5204926223,"Dr. Suzana Savkovic: 1430 Tulane Ave.\, SL-79\, New Orleans LA\, 70112",PRJNA353374,SAMN06006106,Model organism or animal,4-Nov-14,Jackson Laboratory,3798714264,TULANE,"Dr. Suzana Savkovic\, Tulane University",2015-07-01,public,"fastq,sra",s3,s3.us-east-1,1-Jul-15,Adult,SRX2345617,Wild-type,USA,North America,USA,Illumina HiSeq 2500,Vivarium,RD Tumor 1,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-01T00:00:00Z,Regular Diet Tumor 1,Tissue Sample,male,SRP093363,C57BL/6,Colon,"Mouse injected with 10 mg/1 kg AOM and had 3 separate\, week long\, cycles of 2.5% DSS H20 treatment within first two months of experiment.",Cancer
SRR5017135,RNA-Seq,101,3900438503,"Dr. Suzana Savkovic: 1430 Tulane Ave.\, SL-79\, New Orleans LA\, 70112",PRJNA353374,SAMN06006082,Model organism or animal,4-Nov-14,Jackson Laboratory,2839161109,TULANE,"Dr. Suzana Savkovic\, Tulane University",2015-07-01,public,"fastq,sra",s3,s3.us-east-1,1-Jul-15,Adult,SRX2345618,Wild-type,USA,North America,USA,Illumina HiSeq 2500,Vivarium,HFD Con 1,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-01T00:00:00Z,High-Fat Diet Control 1,Tissue Sample,male,SRP093363,C57BL/6,Colon,Mouse fed with 60% kcal high fat diet for 8 months/entirety of experiment.,Obesity
SRR5017136,RNA-Seq,101,5338332275,"Dr. Suzana Savkovic: 1430 Tulane Ave.\, SL-79\, New Orleans LA\, 70112",PRJNA353374,SAMN06006079,Model organism or animal,4-Nov-14,Jackson Laboratory,3936848523,TULANE,"Dr. Suzana Savkovic\, Tulane University",2015-07-01,public,"fastq,sra",s3,s3.us-east-1,1-Jul-15,Adult,SRX2345619,Wild-type,USA,North America,USA,Illumina HiSeq 2500,Vivarium,RD Con 3,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-01T00:00:00Z,Regular Diet Control 3,Tissue Sample,male,SRP093363,C58BL/6,Colon,None,
SRR5017137,RNA-Seq,101,5295223051,"Dr. Suzana Savkovic: 1430 Tulane Ave.\, SL-79\, New Orleans LA\, 70112",PRJNA353374,SAMN06006101,Model organism or animal,4-Nov-14,Jackson Laboratory,3838951689,TULANE,"Dr. Suzana Savkovic\, Tulane University",2015-07-01,public,"sra,fastq",s3,s3.us-east-1,1-Jul-15,Adult,SRX2345620,Wild-type,USA,North America,USA,Illumina HiSeq 2500,Vivarium,HFD Con 2,SINGLE,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2017-01-01T00:00:00Z,High-Fat Diet Control 2,Tissue Sample,male,SRP093363,C57BL/6,Colon,Mouse fed with 60% kcal high fat diet for 8 months/entirety of experiment.,Obesity
